Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Australia,2020-04-21 14:38:38,-25.0,133.0,6547,67,4124,2356,25.715.149.825.017.500,,,10.233.694.822.055.900,36,AUS
Austria,2020-04-21 14:30:32,475.162,145.501,14873,491,10971,3411,1.651.381.240.007.100,,,33.012.842.062.798.300,40,AUT
Canada,2020-04-21 14:38:22,60.001.000.000.000.000,-95.001,37933,1753,12747,23433,10.020.419.116.781.900,,,4.621.305.986.871.580,124,CAN
China,2020-04-21 12:33:57,305.928,1.143.055,83853,4636,77799,1418,59.695.602.616.155.700,,,5.528.722.884.094.780,156,CHN
Denmark,2020-04-21 14:30:32,56.0,10.0,7891,370,4889,2632,1.362.348.660.777.250,,,4.688.886.072.741.090,208,DNK
Finland,2020-04-21 14:30:32,619.241,257.482,4014,141,2000,1873,7.244.548.450.218.900,,,35.127.055.306.427.500,246,FIN
France,2020-04-21 14:30:32,462.276,2.2137,156495,20294,38046,98155,2.397.526.886.556.980,,,12.967.826.448.129.300,250,FRA
Germany,2020-04-21 14:30:32,511.657,10.4515,147593,4869,95200,47524,17.615.904.813.267.000,,,3.298.936.941.453.860,276,DEU
Iceland,2020-04-21 14:30:32,649.631,-190.208,1778,10,1417,351,521.025.641.025.641,,,562.429.696.287.964,352,ISL
Ireland,2020-04-21 14:30:32,531.424,-76.921,15652,687,77,14888,31.698.352.868.364.700,,,4.389.215.435.727.060,372,IRL
Italy,2020-04-21 14:30:32,418.719,12.5674,181228,24114,48877,108237,2.997.395.315.272.300,,,13.305.890.921.932.500,380,ITA
Netherlands,2020-04-21 14:30:32,523.167,5.55,34317,3929,74,30314,2.002.757.767.740.670,,,11.449.135.996.736.300,528,NLD
Norway,2020-04-21 14:30:32,60.472,8.4689,7191,182,32,6977,1.326.448.810.069.720,,,2.530.941.454.596.020,578,NOR
Russia,2020-04-21 14:30:32,61.523.999.999.999.900,1.053.188,52763,456,3873,48434,3.615.527.134.578.080,,,8.642.419.877.565.710,643,RUS
Sweden,2020-04-21 14:30:32,601.282,186.435,15322,1765,550,13007,15.171.393.575.971.300,,,1.151.938.389.244.220,752,SWE
Switzerland,2020-04-21 14:30:32,468.182,8.2275,28063,1436,18600,8027,3.242.546.349.243.830,,,5.117.058.047.963.510,756,CHE
United Kingdom,2020-04-21 14:30:32,55.0,-3.0,125856,16550,603,108703,18.539.314.819.590.700,,,13.149.949.148.232.900,826,GBR
US,2020-04-21 14:38:20,40.0,-100.0,788920,42458,73533,672929,2.394.539.413.309.250,,,5.381.787.760.482.680,840,USA
Afghanistan,2020-04-21 14:30:32,3.393.911,67.709.953,1092,36,150,906,28.051.542.191.330.400,,,32.967.032.967.032.900,4,AFG
Albania,2020-04-21 14:30:32,411.533,201.683,609,26,345,238,21.161.998.749.044.400,,,4.269.293.924.466.330,8,ALB
Algeria,2020-04-21 14:30:32,280.339,1.6596,2718,384,1099,1235,6.198.256.219.356.050,,,141.280.353.200.883,12,DZA
Andorra,2020-04-21 14:30:32,425.063,1.5218,717,37,248,432,9.279.751.504.562.220,,,5.160.390.516.039.050,20,AND
Angola,2020-04-21 14:30:32,-112.027,178.739,24,2,6,16,7.302.319.813.128.760,,,8.333.333.333.333.330,24,AGO
Antigua and Barbuda,2020-04-21 14:30:32,170.608,-617.964,23,3,7,13,23.486.643.248.100.600,,,13.043.478.260.869.500,28,ATG
Argentina,2020-04-21 14:30:32,-384.161,-636.167,3031,145,840,2046,6.706.378.784.017.800,,,4.783.899.703.068.290,32,ARG
Armenia,2020-04-21 14:30:32,400.691,450.382,1401,24,609,768,47.279.425.114.587.600,,,17.130.620.985.010.700,51,ARM
Azerbaijan,2020-04-21 14:30:32,401.431,475.769,1480,20,865,595,14.596.848.362.909.200,,,13.513.513.513.513.500,31,AZE
Bahamas,2020-04-21 14:30:32,25.025.885,-78.035.889,60,9,11,40,15.257.547.400.113.900,,,15.0,44,BHS
Bahrain,2020-04-21 14:30:32,260.275,50.55,1952,7,783,1162,11.471.670.791.257.300,,,35.860.655.737.704.900,48,BHR
Bangladesh,2020-04-21 14:30:32,23.685,903.563,3382,110,87,3185,2.053.562.857.783.000,,,32.525.133.057.362.500,50,BGD
Barbados,2020-04-21 14:30:32,131.939,-595.432,75,5,23,47,26.098.666.880.095.700,,,6.666.666.666.666.660,52,BRB
Belarus,2020-04-21 14:30:32,537.098,279.534,6264,51,514,5699,6.629.047.737.927.410,,,814.176.245.210.728,112,BLR
Belgium,2020-04-21 14:30:32,508.333,4.469.936,40956,5998,9002,25956,3.533.853.062.948.760,,,1.464.498.486.180.290,56,BEL
Belize,2020-04-21 14:30:32,171.899,-884.976,18,2,2,14,4.526.923.879.774.960,,,1.111.111.111.111.110,84,BLZ
Benin,2020-04-21 14:30:32,9.3077,2.3158,54,1,27,26,44.542.702.346.361.000,,,18.518.518.518.518.500,204,BEN
Bhutan,2020-04-21 14:30:32,275.142,904.336,6,0,2,4,7.775.928.834.699.300,,,0.0,64,BTN
Bolivia,2020-04-21 14:30:32,-162.902,-635.887,598,34,37,527,51.229.205.375.913.900,,,568.561.872.909.699,68,BOL
Bosnia and Herzegovina,2020-04-21 14:30:32,439.159,176.791,1342,51,437,854,40.904.470.383.121.200,,,38.002.980.625.931.400,70,BIH
Botswana,2020-04-21 14:30:32,-223.285,246.849,20,1,0,19,8.504.757.348.641.890,,,5.0,72,BWA
Brazil,2020-04-21 14:30:32,-14.235,-519.253,40814,2588,22991,15235,192.012.201.163.017,,,6.340.961.434.801.780,76,BRA
Brunei,2020-04-21 14:30:32,4.5353,1.147.277,138,1,116,21,3.154.408.285.579.090,,,7.246.376.811.594.200,96,BRN
Bulgaria,2020-04-21 14:30:32,427.339,254.858,966,45,170,751,13.902.391.110.529.000,,,4.658.385.093.167.700,100,BGR
Burkina Faso,2020-04-21 14:30:32,12.2383,-15.616,581,38,357,186,277.946.836.854.966,,,6.540.447.504.302.920,854,BFA
Burma,2020-04-21 14:30:32,219.162,95.956,119,5,7,107,2.187.106.240.468.390,,,4.201.680.672.268.900,104,MMR
Burundi,2020-04-21 14:30:32,-33.731,299.189,5,1,4,0,42.049.382.626.759.300,,,20.0,108,BDI
Cabo Verde,2020-04-21 14:30:32,165.388,-230.418,67,1,1,65,12.050.619.797.549.500,,,1.492.537.313.432.830,132,CPV
Cambodia,2020-04-21 14:30:32,11.55,1.049.167,122,0,110,12,7.297.099.803.570.440,,,0.0,116,KHM
Cameroon,2020-04-21 14:30:32,3.848,11.5021,1163,43,329,791,4.381.096.806.643.770,,,3.697.334.479.793.630,120,CMR
Central African Republic,2020-04-21 14:30:32,6.6111,209.394,14,0,10,4,2.898.692.358.467.200,,,0.0,140,CAF
Chad,2020-04-21 14:30:32,154.542,187.322,33,0,8,25,20.090.273.513.245.100,,,0.0,148,TCD
Chile,2020-04-21 14:30:32,-356.751,-71.543,10507,139,4676,5692,54.963.826.771.301.700,,,1.322.927.572.094.790,152,CHL
Colombia,2020-04-21 14:30:32,4.5709,-742.973,3977,189,804,2984,7.815.987.788.742.470,,,4.752.325.873.774.200,170,COL
Congo (Brazzaville),2020-04-21 14:30:32,-42.634,152.832,160,6,16,138,2.899.552.961.422.170,,,3.75,178,COG
Congo (Kinshasa),2020-04-21 14:30:32,-4.322.447,15.307.045,350,25,35,290,3.907.933.377.194.480,,,7.142.857.142.857.140,180,COD
Costa Rica,2020-04-21 14:30:32,9.7489,-837.534,662,6,124,532,12.995.390.366.214.800,,,9.063.444.108.761.320,188,CRI
Cote d'Ivoire,2020-04-21 14:30:32,7.54,-55.471,879,10,287,582,333.228.764.959.043,,,11.376.564.277.588.100,384,CIV
Croatia,2020-04-21 14:30:32,45.1,15.2,1908,48,801,1059,46.476.868.258.052.800,,,25.157.232.704.402.500,191,HRV
Cuba,2020-04-21 14:30:32,21.521.757,-7.778.116.700.000.000,1087,36,285,766,9.596.864.588.682.090,,,3.311.867.525.298.980,192,CUB
Cyprus,2020-04-21 14:30:32,351.264,334.299,772,12,81,679,6.394.110.792.049.760,,,15.544.041.450.777.200,196,CYP
Czechia,2020-04-21 14:30:32,498.175,15.473,6914,196,1597,5121,6.456.262.602.738.520,,,2.834.827.885.449.810,203,CZE
Diamond Princess,2020-04-21 14:30:32,,,712,13,644,55,,,,18.258.426.966.292.100,9999,
Djibouti,2020-04-21 14:30:32,11.8251,425.903,846,2,102,742,8.562.735.702.964.160,,,2.364.066.193.853.420,262,DJI
Dominica,2020-04-21 14:30:32,15.415,-61.371,16,0,8,8,2.222.500.034.726.560,,,0.0,212,DMA
Dominican Republic,2020-04-21 14:30:32,187.357,-701.627,4964,235,416,4313,4.575.999.197.633.010,,,4.734.085.414.987.910,214,DOM
Ecuador,2020-04-21 14:30:32,-18.312,-781.834,10128,507,1150,8471,5.740.500.797.480.700,,,50.059.241.706.161.100,218,ECU
Egypt,2020-04-21 14:30:32,26.820.553.000.000.000,30.802.498,3333,250,821,2262,32.569.692.129.830.400,,,7.500.750.075.007.500,818,EGY
